学号,姓名,年龄,性别,出生日期 ,出生地,籍贯,国籍/地区,身份证件号,健康状况,联系电话
10000029,逄装向,24,男,1992-08-08,郓城南路16号-20-10,安徽,美国,130610193408025373,有生理缺陷,15308616533
10000030,苍重根,23,男,1997-07-02,河南广场41号-5-7,安徽,美国,152207196707275611,有生理缺陷,15603316922
10000031,范素片,22,女,1992-03-26,山海关路70号-14-1,湖北,香港,330337199304177644,一般或较弱,13203351968
10000032,邵身期,26,女,1997-08-16,春城街28号-19-9,湖北,美国,432425198902085098,健康或良好,13301870331
10000033,戎间马,27,男,1992-09-14,城武大厦131号-2-10,云南,澳门,410129193702053091,有慢性病,15803184571
10000034,萧第府,19,女,1998-01-15,保定街13号-10-4,江苏,美国,12102119571118806,有慢性病,13103052627
10000035,郦型领,19,男,1991-12-18,团岛二路133号-12-3,云南,香港,440706193810247888,有慢性病,13407702932
10000036,晁派术,21,男,1994-10-31,文阳街111号-3-5,上海,美国,442721200312032913,残疾,15101085127
10000037,伏族层,27,男,1996-12-11,海川路81号-19-6,江苏,香港,440926195604153558,有慢性病,13305740889
10000038,伍源练,27,女,1994-04-05,杭州支广场104号-16-2,湖北,台湾,422726201107046673,一般或较弱,13402400208
10000039,汝地字,28,男,1996-01-15,泰州四路119号-12-5,湖北,香港,540533200009121677,有慢性病,13104534604
10000040,后比写,27,女,1994-03-01,泗水大厦99号-5-2,云南,美国,710928196502141361,残疾,13502885431
10000041,赵案议,27,女,1992-10-12,十梅庵街16号-4-9,云南,美国,360228193805155324,健康或良好,13608853116
10000042,龙文主,18,女,1995-01-28,湖北街62号-4-2,上海,中国,372424196805194123,有慢性病,13404478714
10000043,车却把,30,男,1996-02-25,湛山二街53号-10-8,湖北,中国,410334195206114945,残疾,13003101318
10000044,毛式低,26,女,1992-05-19,顺城路116号-16-2,安徽,中国,122432192810025295,有慢性病,15300525660
10000045,陶信理,29,女,1994-07-09,大港四街22号-16-2,上海,中国,461004193504146780,一般或较弱,15603527528
10000046,阚能此,19,女,1997-11-30,黄海街88号-7-8,江苏,台湾,462534197601296782,有生理缺陷,15806771033
10000047,季里官,31,男,1994-12-02,闽江四街127号-14-6,上海,台湾,522729192701188110,健康或良好,13206372783
10000048,耿排会,27,男,1997-02-25,巢湖街51号-1-7,云南,中国,210221192309012294,有慢性病,13204066445
10000049,程子变,18,女,1996-10-21,咸阳广场33号-7-3,上海,中国,450226197705302038,有慢性病,15504737311
10000050,苏强问,23,男,1995-03-06,台东西七街65号-12-6,上海,香港,232202195102182086,健康或良好,13605763241
10000051,乌金各,29,女,1996-09-05,海泊路92号-20-10,上海,台湾,232403199608032762,健康或良好,15508831737
10000052,斜无军,21,男,1997-05-10,埕口路142号-5-3,上海,美国,340337198405295523,一般或较弱,13707588167
10000053,耿企单,25,女,1991-11-30,郧阳路110号-20-8,江苏,澳门,152529192909059126,健康或良好,13400513347
10000054,夔而技,25,女,1996-07-14,崇阳街36号-6-3,江苏,澳门,120501192101127780,残疾,15707706351
10000055,宿很运,18,女,1992-04-27,华阳路17号-2-8,湖北,美国,370203195206233798,有慢性病,15806892664
10000056,井运只,30,男,1997-10-07,瑞金广场117号-19-3,江苏,澳门,230230193906061931,一般或较弱,13302892678
10000057,海紧叶,31,女,1995-07-29,广西街149号-13-9,上海,中国,460825195209096604,有慢性病,15807367772
10000058,薛调亚,18,女,1993-05-20,新竹路89号-16-4,江苏,中国,462732196509245372,一般或较弱,15507045293
10000059,广导权,29,男,1992-07-14,湛山路78号-1-6,云南,台湾,422409199808119270,有生理缺陷,13201352904
10000060,郦可家,18,女,1997-08-11,泰兴广场138号-5-7,江苏,澳门,110108200404228214,残疾,13802374362
10000061,项济引,28,女,1997-07-14,东平街66号-18-6,上海,澳门,420730196606014481,残疾,15108685611
10000062,叶格门,20,女,1997-08-30,阳谷广场83号-20-4,安徽,澳门,640126199602238678,有慢性病,13902658105
10000063,纪口首,28,男,1992-02-20,河南广场56号-1-4,上海,美国,542209196611278052,一般或较弱,15100691762
10000064,夔华某,28,女,1994-02-12,陵县支街67号-2-7,云南,中国,462437195312036995,一般或较弱,15000041043
10000065,管表统,27,女,1995-06-29,沂水路31号-3-9,云南,中国,500709192203253194,有生理缺陷,15207775817
10000066,幸现十,21,女,1997-12-02,丽水街118号-14-4,湖北,澳门,33263419631222551,健康或良好,13808816196
10000067,韦强始,27,女,1992-01-31,西康街55号-6-10,上海,澳门,31240919820425338,健康或良好,13900256315
10000068,欧数司,22,女,1993-03-18,闽江四街67号-2-2,湖北,中国,1402222000122189,健康或良好,13806687866
10000069,利消强,33,女,1995-07-31,十梅庵街40号-3-4,上海,香港,222234196701296399,有慢性病,15303175943
10000070,薄防入,32,男,1992-05-06,金田路144号-7-9,安徽,香港,36060119681107376,健康或良好,13202268030
10000071,富球断,33,女,1996-03-18,汶水街99号-19-9,上海,中国,121001196105299551,有生理缺陷,13303824846
10000072,樊积部,18,女,1996-02-12,长春街131号-8-9,湖北,美国,230805195312269440,有慢性病,15503640014
10000073,习老谈,28,女,1995-06-02,海江街137号-5-8,安徽,台湾,530322199306024823,有生理缺陷,13206886339
10000074,宗实官,20,男,1996-04-29,商河路97号-20-8,湖北,美国,322304196910133877,有慢性病,13506684240
10000075,姜光周,29,女,1997-02-20,澄海二街60号-4-6,云南,香港,412232199501251235,有生理缺陷,15004998570
10000076,空系首,19,男,1994-01-15,济阳路55号-1-5,安徽,中国,11100619421103176,健康或良好,15300012911
10000077,羿服更,31,女,1996-07-23,德平广场111号-5-4,安徽,中国,421032198207142854,残疾,15206592747
10000078,云商算,34,男,1993-12-02,澳门一路19号-10-10,湖北,台湾,210221196605096911,健康或良好,15902737457
10000079,后见却,24,女,1992-05-28,观音峡广场14号-19-8,上海,中国,452610192003216545,健康或良好,15907950635
10000080,莫细口,29,女,1996-04-09,三明南路68号-3-9,江苏,澳门,37053220000502204,一般或较弱,13706782052
10000081,梅望信,22,女,1992-03-04,旌德路27号-11-4,上海,中国,460332193006077115,残疾,15905596738
10000082,符统论,28,男,1996-01-11,热河大厦69号-7-3,安徽,美国,462632196610235454,有生理缺陷,13902503033
10000083,麻位段,31,男,1992-02-23,鱼山广场44号-19-6,云南,香港,340732201410088852,一般或较弱,13200856801
10000084,缪口配,19,女,1991-12-25,赵红广场42号-19-8,上海,台湾,542231198412256554,健康或良好,13701701143
10000085,羊指验,32,男,1997-10-21,台东二路64号-3-10,云南,台湾,331029194503284378,有慢性病,13001640112
10000086,章数失,21,男,1995-12-03,莱芜一广场101号-6-7,云南,台湾,812626200511255661,有慢性病,15707923978
10000087,后层包,32,男,1994-03-31,济南街63号-5-5,湖北,澳门,510932198007045980,残疾,13001343935
10000088,宦足离,21,男,1994-01-16,茌平路90号-10-7,安徽,香港,322301196408142142,有慢性病,13904644448
10000089,归为此,22,女,1992-07-26,齐河路137号-17-10,江苏,香港,130322196912257938,有生理缺陷,15207464660
10000090,顾严左,18,男,1994-04-29,恒台街42号-6-4,云南,台湾,812231195709208674,有慢性病,13900735344
10000091,慎千积,28,女,1991-12-06,宁夏路148号-16-6,安徽,澳门,310934193808213585,残疾,13602853577
10000092,金之他,32,女,1997-10-08,博平街139号-2-2,上海,香港,81052419401107246,残疾,15104271774
10000093,尹论化,23,女,1993-12-06,市场一路57号-18-5,云南,美国,110606192809023788,一般或较弱,15104995046
10000094,项相做,34,女,1996-10-18,澳门广场112号-2-6,安徽,香港,340735198208235855,有慢性病,15707878628
10000095,鄂过教,20,女,1995-08-21,正阳路78号-12-3,湖北,美国,640234194907282152,残疾,15908033966
10000096,晏育长,28,男,1993-06-21,大港三街70号-14-6,湖北,中国,140328196010187771,有生理缺陷,13702530443
10000097,倪商后,31,男,1995-10-14,天台一广场80号-12-7,云南,台湾,132221195301156491,有生理缺陷,15002861782
10000098,江据段,34,男,1993-12-18,承德街94号-19-9,上海,美国,440724200109018484,有生理缺陷,13603576978
10000099,后快压,31,女,1997-05-14,澳门五路19号-13-8,云南,美国,35100719600726842,有生理缺陷,13500116720
10000100,柏太命,23,男,1996-10-11,龙江街73号-2-4,云南,香港,652321194901283297,一般或较弱,13001785232
10000101,鞠员世,21,男,1994-12-30,德县路31号-14-5,云南,美国,372321192601107972,残疾,15104880280
10000102,弓间消,27,女,1992-10-22,安庆路129号-12-8,云南,台湾,622135193112235752,一般或较弱,13107116221
10000103,凤位作,32,女,1993-08-06,新湛支路14号-6-5,安徽,美国,51032419910621376,有生理缺陷,13507345430
10000104,梁高织,31,女,1993-12-11,东阿街48号-6-5,安徽,美国,45080520041218824,有生理缺陷,13701504274
10000105,穆长单,20,女,1997-11-12,仙山西大厦118号-16-3,云南,香港,512336196908152934,残疾,13301088210
10000106,巫厂素,23,女,1996-04-17,大学广场65号-4-4,上海,中国,712621193307319676,残疾,15200194341
10000107,厉并位,20,女,1992-01-01,吴兴二大厦13号-14-1,安徽,美国,120631200402267127,一般或较弱,15300471288
10000108,钮史多,23,男,1993-12-28,贮水山大厦35号-1-5,江苏,香港,331007197512306686,有慢性病,15202552960
10000109,法义真,29,男,1993-05-11,明阳大厦20号-9-2,上海,美国,142424194212031559,有生理缺陷,15906816413
10000110,郭它多,33,男,1992-07-24,阳明广场54号-8-10,江苏,中国,51030319580516197,有慢性病,13300408997
10000111,慎红领,24,男,1998-01-16,邱县路115号-19-7,上海,台湾,150427198502189535,残疾,13104733076
10000112,冯推并,31,女,1994-03-08,大连街141号-7-8,江苏,台湾,520310196406174787,有生理缺陷,13001474582
10000113,熊亲常,20,女,1992-08-15,团岛四街146号-2-7,湖北,香港,112506200707242680,残疾,13508416526
10000114,汲满转,35,女,1994-12-09,禹城街49号-4-7,湖北,澳门,41061019770710684,有慢性病,15708012033
10000115,晁月单,28,女,1996-10-02,硕阳街37号-9-5,安徽,中国,360330199901021161,一般或较弱,15502097479
10000116,顾所受,22,男,1996-02-20,菜市二路56号-14-3,江苏,香港,610825191909126184,有生理缺陷,13603882507
10000117,陈通及,24,男,1994-07-17,大尧三路24号-3-6,上海,澳门,142233194503108831,有生理缺陷,13705061332
10000118,谢青十,20,女,1992-08-08,逍遥三大厦124号-19-9,湖北,澳门,44020620030905501,有生理缺陷,15307287935
10000119,曹无给,20,女,1996-01-08,云溪广场81号-5-5,湖北,香港,11250419560725704,残疾,13800763501
10000120,邹举目,34,女,1995-01-06,荣成路68号-7-10,湖北,台湾,460930196907263301,残疾,15108515460
10000121,詹际么,27,男,1996-09-23,湛山二街32号-2-3,云南,台湾,140428199312219234,一般或较弱,13101017440
10000122,岳四重,23,男,1992-09-21,安邱街53号-3-10,安徽,台湾,460124192704204339,残疾,15601486837
10000123,国机改,19,女,1993-02-27,咸阳支街144号-1-8,云南,香港,430930195906102140,有生理缺陷,13503131497
10000124,赖里治,21,女,1994-07-27,三门峡路83号-2-7,安徽,香港,430225200605318115,有慢性病,15804141479
10000125,席众企,27,男,1993-01-19,驼峰路99号-11-6,云南,澳门,63232919820414204,残疾,15000121756
10000126,乜史样,25,女,1994-10-30,嫩江广场127号-7-4,上海,澳门,712732194607237220,有慢性病,13800718273
10000127,秋半受,34,女,1994-01-20,南阳街104号-13-1,上海,澳门,542533192111046687,有慢性病,13204887746
10000128,郦调满,18,男,1994-01-03,台东一街44号-5-10,江苏,香港,500408200502205205,残疾,13906404957
10000129,贾事大,34,女,1994-05-06,宁夏路123号-13-9,上海,台湾,460903192006199107,健康或良好,15803461398
10000130,杜常度,20,女,1991-11-07,西江广场33号-6-5,上海,中国,23222119820930956,一般或较弱,13208383535
10000131,宰施马,21,女,1991-11-12,无棣二大厦22号-6-7,安徽,美国,350802195806028110,残疾,15900684236
10000132,臧科情,19,男,1997-07-26,流亭大厦131号-20-8,安徽,台湾,312710192409107953,有生理缺陷,13903715876
10000133,和营造,29,女,1994-04-22,红岛支大厦141号-17-3,江苏,中国,502609201608263523,有慢性病,13204142069
10000134,苏管众,19,女,1995-08-15,三明北街93号-1-7,云南,澳门,110932192909151097,健康或良好,13801018183
10000135,尹观历,27,女,1995-11-14,长安路49号-5-2,上海,台湾,320804198910151196,残疾,15700564730
10000136,文何各,18,女,1992-03-09,辽北街25号-6-4,云南,美国,710129199404014529,有慢性病,15103446616
10000137,孟须氧,19,女,1992-12-30,荷泽一路26号-10-9,江苏,澳门,362121199403269894,健康或良好,15802321794
10000138,幸改平,30,女,1993-06-05,逍遥一街80号-7-10,安徽,台湾,712210200701046507,健康或良好,13304828111
10000139,周话听,34,女,1997-03-20,太平角五路99号-17-5,安徽,台湾,500701195208164239,有生理缺陷,13901045634
10000140,利爱元,29,男,1992-09-16,隆德广场148号-14-7,安徽,美国,442424201606115291,残疾,15207746382
10000141,霍死米,29,女,1993-12-04,秀湛四路30号-12-5,安徽,澳门,342422196507317336,健康或良好,15103512476
10000142,毋水素,34,女,1995-01-10,博兴路107号-3-8,江苏,香港,650722193607288474,健康或良好,15101867069
10000143,满由席,31,女,1995-11-10,白塔广场84号-2-9,上海,香港,422523195307066561,残疾,15008547385
10000144,姬木命,20,女,1996-11-11,郓城北广场42号-18-5,云南,中国,452436198401312801,一般或较弱,15307924882
10000145,郗算德,22,女,1994-04-17,莲岛大厦80号-6-7,湖北,香港,500635201408101355,有生理缺陷,15800932336
10000146,史举决,20,女,1991-12-18,团岛二路141号-16-7,安徽,香港,330430197411196792,健康或良好,13104392696
10000147,范落代,26,女,1992-02-23,姜沟路139号-12-4,湖北,台湾,460124196804291256,有生理缺陷,13001472240
10000148,桓底怎,24,女,1994-08-12,浦口广场94号-17-5,云南,澳门,212728201001031900,一般或较弱,13708798156
10000149,伍委单,25,女,1992-12-14,沈阳支大厦30号-8-10,江苏,台湾,112431194708275461,有慢性病,13007113638
10000150,能带容,31,男,1992-12-28,益都街52号-16-6,上海,美国,422637196901027149,一般或较弱,13308212514
10000151,相少国,23,女,1996-08-28,高邮湖街26号-8-6,江苏,美国,342101195103185962,有慢性病,15503778619
10000152,公河接,30,男,1992-10-18,刘家峡路147号-3-3,安徽,澳门,372130195411191626,有生理缺陷,15107833532
10000153,羊足设,26,女,1996-11-07,吴县二大厦120号-2-9,安徽,香港,352134197301223864,一般或较弱,13006797812
10000154,查打论,19,女,1992-01-30,国城路35号-4-9,上海,美国,620822193505165051,有慢性病,15308182488
10000155,蓟新东,26,女,1993-07-29,伏龙山路16号-18-3,湖北,美国,320430201112193850,一般或较弱,13401166947
10000156,那英压,30,男,1993-12-25,钜野广场24号-14-8,云南,香港,620535201609269788,一般或较弱,13906890365
10000157,王山干,24,女,1993-08-20,台西二街140号-2-6,湖北,美国,442623193502098304,有生理缺陷,15707258736
10000158,刘讲北,28,女,1991-12-31,如东路25号-15-3,湖北,台湾,332125192409038138,有慢性病,15804037744
10000159,爱去黄,24,男,1997-06-30,港联路126号-13-9,上海,澳门,152301201703258306,一般或较弱,13101457285
10000160,詹排神,19,男,1997-07-16,江西街50号-11-7,湖北,澳门,632224201209067448,有生理缺陷,15503637979
10000161,饶县武,28,男,1992-09-01,郓城南路95号-20-6,江苏,中国,210421196010062885,健康或良好,15900446321
10000162,狄区道,28,男,1996-11-21,益都街115号-3-3,湖北,中国,460507200808193270,健康或良好,13206844417
10000163,查全随,26,女,1993-10-20,新湛路79号-20-3,安徽,中国,65260820050612243,有生理缺陷,15701358150
10000164,印运试,30,女,1996-12-04,昌邑街96号-4-9,江苏,台湾,130335197902116606,有生理缺陷,13900546520
10000165,花轻米,22,女,1997-11-29,信号山路135号-13-2,云南,澳门,212335201008295036,有生理缺陷,15808621124
10000166,毕度常,20,女,1997-05-30,无棣二大厦107号-16-10,湖北,美国,810331198403027748,有慢性病,13505203151
10000167,吴案效,20,女,1992-10-03,龙口街14号-12-8,江苏,香港,130229195309068816,有慢性病,15505698578
10000168,姚史进,32,女,1993-11-27,莒县路46号-8-7,上海,澳门,350833193105028957,健康或良好,15800745098
10000169,贺地往,33,女,1997-03-24,硕阳街70号-3-1,江苏,美国,51220719940315226,一般或较弱,15505625794
10000170,阮多华,19,男,1998-01-04,合江路133号-15-6,云南,中国,140830197606217325,一般或较弱,13103444089
10000171,充转周,23,男,1992-04-27,丹东街52号-9-7,湖北,中国,370933200412282286,有生理缺陷,13508001157
10000172,左开物,35,男,1996-02-07,辽北街20号-9-9,湖北,香港,410536196406155523,有生理缺陷,15506331758
10000173,能称科,25,男,1992-02-12,大港二路88号-13-9,江苏,美国,230737196811269784,有生理缺陷,13305362195
10000174,阎结众,25,女,1994-10-30,燕儿岛路124号-7-7,湖北,中国,112121195804267191,有生理缺陷,15306838423
10000175,杭轻克,24,女,1995-01-08,平定路63号-9-4,云南,香港,510422200811231018,有生理缺陷,13302943439
10000176,武往机,28,男,1997-08-11,大尧一广场89号-7-6,云南,香港,812324196911212356,一般或较弱,15901847927
10000177,严科容,22,女,1995-12-02,天津路131号-8-9,安徽,美国,132603195910099039,有慢性病,13507652884
10000178,缑并致,21,女,1995-03-23,峄县路148号-7-8,湖北,香港,330105192609124401,健康或良好,13008303672
10000179,法教固,22,女,1993-01-30,广西街53号-17-9,湖北,台湾,620232195303319590,有生理缺陷,13605965429
10000180,涂全报,21,男,1997-05-08,金口一广场125号-4-3,江苏,中国,352132200006179371,有慢性病,13405041920
10000181,彭其际,31,女,1993-11-12,普集支路43号-4-9,上海,台湾,232306192102053410,有慢性病,13208424740
10000182,雷推导,20,女,1995-08-12,徐州大厦148号-2-9,安徽,澳门,622625201308136883,残疾,15606856843
10000183,寇约总,32,女,1992-03-02,镇江街73号-18-3,安徽,中国,650737197007233615,有生理缺陷,15504504286
10000184,薄正术,35,女,1994-04-18,丰盛街26号-9-6,湖北,台湾,370406199511171079,有慢性病,15803415991
10000185,郭万压,35,女,1995-01-26,陵县大厦95号-19-5,安徽,中国,132537193603299829,有生理缺陷,13908747049
10000186,庞江失,25,女,1995-05-22,西陵峡一大厦56号-12-6,安徽,中国,442704199401238098,有生理缺陷,13201466161
10000187,尹三打,28,男,1996-02-22,城阳街139号-18-2,云南,澳门,320810198906127316,有生理缺陷,13106638484
10000188,郝封难,26,男,1996-05-08,城阳街34号-13-1,云南,台湾,222310193408237445,残疾,13505161382
10000189,宦直需,18,男,1991-12-28,鱼山支街32号-15-1,湖北,中国,710909194211224849,健康或良好,15603294726
10000190,束圆动,23,男,1996-07-23,武胜关广场12号-7-9,上海,美国,140237199809047638,残疾,13603818389
10000191,舒示状,23,女,1991-11-22,内蒙古路96号-2-5,上海,澳门,22050619221112428,有生理缺陷,15500645146
10000192,颜用鱼,31,男,1994-01-14,台东东七广场68号-17-10,湖北,香港,222208197209033208,有生理缺陷,15800787794
10000193,阳步含,24,男,1992-07-22,盐城街88号-6-5,湖北,台湾,540525201003107883,一般或较弱,15002496094
10000194,劳话克,24,男,1991-10-23,龙岩街45号-16-1,安徽,美国,412233192603268938,有慢性病,13000320579
10000195,杭能火,20,女,1992-03-22,四方街12号-9-10,安徽,香港,532424201202092093,残疾,13904944812
10000196,薛往止,24,女,1996-07-30,广东广场83号-6-10,云南,澳门,812121194105302202,残疾,15806290780
10000197,后国物,27,男,1996-01-02,邹县广场81号-3-3,安徽,台湾,131010201104184974,有生理缺陷,13802408666
10000198,计告深,29,男,1993-06-27,西藏路135号-1-8,上海,台湾,362307193705131209,有慢性病,13800091401
10000199,茹叶所,31,男,1996-01-25,青铜峡路112号-14-1,江苏,中国,640524197703042203,有慢性病,15108157227
10000200,阮济六,30,女,1996-08-16,澄海二街46号-9-8,云南,台湾,130703201503025060,残疾,13706417144
10000201,姬式府,33,女,1992-09-26,湛山五街108号-2-4,安徽,澳门,230532199904033190,残疾,13005375116
10000202,周色里,22,女,1995-06-18,红岛路90号-10-1,安徽,台湾,370433192611153332,健康或良好,15706036371
10000203,隆气集,28,女,1995-02-23,伏龙街58号-2-4,安徽,澳门,130624192501023088,健康或良好,13901106961
10000204,叶率女,19,男,1992-08-19,巢湖街66号-18-5,湖北,澳门,142510197911033675,残疾,13808851786
10000205,堵加族,28,女,1994-01-08,礼阳路142号-11-6,安徽,中国,71033019290422701,残疾,13201242904
10000206,牧个至,20,男,1996-01-22,大尧三路85号-3-10,云南,澳门,542736192411185319,一般或较弱,13405826655
10000207,洪开社,32,女,1996-07-12,泰州五街38号-16-3,湖北,香港,44010319610425391,有慢性病,15902875280
10000208,归近克,26,女,1993-10-19,泉州街25号-4-2,江苏,中国,212502197905096425,有生理缺陷,15305615239
10000209,钦样调,31,男,1993-11-19,泰城街24号-12-2,江苏,香港,650103193606218633,有生理缺陷,15707446908
10000210,路技化,18,男,1996-01-08,泰州一路96号-7-5,江苏,澳门,15013719720406308,残疾,15501868626
10000211,支格德,32,女,1995-09-26,邱县路16号-13-10,湖北,澳门,412125199806211429,残疾,13402586044
10000212,皮育照,26,男,1996-12-07,祚山路29号-14-3,云南,中国,532410199209253744,有慢性病,15803670776
10000213,师万论,29,男,1993-02-24,澳门二路11号-19-9,云南,中国,320902199804045788,健康或良好,15902527688
10000214,茹次置,18,男,1997-10-15,吴兴三广场144号-12-5,安徽,台湾,342706198203233978,健康或良好,13503891802
10000215,毕况斯,27,女,1997-09-25,城武大厦120号-18-8,湖北,香港,622229195804221031,一般或较弱,13007883003
10000216,秦条于,20,男,1992-08-23,西江广场118号-3-3,江苏,台湾,350708193110307738,有慢性病,13005432086
10000217,桓现根,24,男,1993-02-19,青威高速99号-2-10,云南,美国,54260219171023624,残疾,15306672059
10000218,叶生院,26,女,1992-08-18,春城街58号-7-2,安徽,香港,320402196708168779,一般或较弱,13307857087
10000219,单爱工,28,女,1994-12-03,李村支广场108号-4-1,江苏,香港,532107198002187538,有慢性病,13201984504
10000220,伏持水,31,男,1998-01-05,安徽路63号-18-5,江苏,美国,532435192704086437,一般或较弱,15907894156
10000221,平什究,20,男,1997-02-09,台西二街14号-18-8,江苏,澳门,230405198904211409,健康或良好,13706242171
10000222,向天门,18,女,1993-07-26,广东广场48号-17-3,湖北,香港,432427201408033891,一般或较弱,13304442809
10000223,缪员革,23,女,1994-04-11,逍遥三大厦124号-16-5,云南,中国,14222219291228111,一般或较弱,13204417440
10000224,张音本,30,女,1997-11-13,红岛支大厦125号-1-5,安徽,香港,440325194507137820,一般或较弱,15903217290
10000225,暴术实,32,女,1997-09-08,长清街137号-5-3,上海,美国,450121194102024044,健康或良好,15606910614
10000226,谭集易,22,男,1998-01-16,临淮关大厦29号-2-1,安徽,台湾,230533195107115552,残疾,13401021497
10000227,公车见,24,女,1994-11-27,标山路76号-18-6,安徽,香港,342635192205014639,一般或较弱,15806417403
10000228,农构条,31,男,1997-01-13,团岛四街49号-20-4,湖北,澳门,140629192406292663,有生理缺陷,15800686176
10000229,督示压,27,女,1993-12-18,红岛路138号-12-5,安徽,中国,520935193606083357,一般或较弱,15005616991
10000230,魏知判,31,男,1992-09-08,红岛支大厦26号-16-6,江苏,中国,142309197408223308,残疾,13707156671
10000231,权破早,25,男,1997-11-18,青岛路24号-9-3,上海,中国,220927191901211055,健康或良好,15807336918
10000232,屠展战,21,男,1997-07-06,城阳街42号-8-9,江苏,台湾,440432192609183264,残疾,15903871960
10000233,茅身路,34,女,1992-06-24,澳门广场130号-3-2,湖北,台湾,510533196402212997,有生理缺陷,13601780638
10000234,楚关所,20,男,1997-10-26,山城广场107号-18-6,上海,香港,220334199111138937,有慢性病,13607298827
10000235,祖成众,34,女,1995-12-10,荷泽三大厦122号-14-7,湖北,澳门,520624197106124518,有生理缺陷,15507054074
10000236,钮神思,26,男,1992-02-24,艳阳街84号-12-2,安徽,澳门,232708198808301861,残疾,15303146599
10000237,璩包后,18,女,1995-09-24,紫荆关街74号-14-8,江苏,香港,210306199403281620,残疾,15702151376
10000238,楮设事,24,男,1995-01-24,新湛支路135号-11-9,云南,澳门,812607193610307689,有生理缺陷,15608660127
10000239,熊报劳,20,男,1997-06-19,云溪广场49号-17-4,上海,澳门,53263620090915105,残疾,15607790776
10000240,宣还革,18,男,1993-10-27,招远街128号-19-3,云南,台湾,212122199309087763,有生理缺陷,15601381900
10000241,伊段强,23,女,1992-10-29,龙山路83号-3-4,安徽,美国,350234196408151796,健康或良好,15002127431
10000242,戴用也,22,女,1994-08-10,沧口街90号-8-9,上海,澳门,340305201508164784,健康或良好,15705647749
10000243,姬每面,24,男,1992-12-06,上海支路35号-7-6,上海,香港,510634196107158489,一般或较弱,13900238390
10000244,禹法习,27,男,1996-08-30,茌平路12号-3-5,湖北,中国,340705198206047198,有生理缺陷,15004659066
